time,x,der(x),der(der(x)),F_in,k,c,m
0,1,0,-1,0,0,0,0
0.01,0.9999506617153396,-0.009950495473671869,-0.9900001662416678,0,0,0,0
0.02,0.9998023135047746,-0.01980098680517978,-0.9800013266995947,0,0,0,0
0.03,0.9995559553440478,-0.02955148892101002,-0.9700044664230378,0,0,0,0
0.04,0.9992125870110408,-0.03920202654862578,-0.960010560462415,0,0,0,0
0.05,0.9987732079882568,-0.04875263411648036,-0.9500205738717764,0,0,0,0
0.06,0.9982388173663043,-0.05820335565406015,-0.9400354617122442,0,0,0,0
0.07000000000000001,0.997610413748386,-0.06755424469196672,-0.9300561690564193,0,0,0,0
0.08,0.9968889951557782,-0.07680536416204807,-0.9200836309937301,0,0,0,0
0.09,0.9960755589343129,-0.08595678629758739,-0.9101187726367255,0,0,0,0
0.09999999999999999,0.9951711016618574,-0.09500859253356078,-0.9001625091282967,0,0,0,0
0.11,0.9941766190567934,-0.1039608734069705,-0.890215745649823,0,0,0,0
0.12,0.9930931058874855,-0.1128137284572648,-0.8802793774302207,0,0,0,0
0.13,0.9919215558827509,-0.1215672661268533,-0.8703542897558976,0,0,0,0
0.14,0.9906629616433239,-0.1302216036617256,-0.8604413579815984,0,0,0,0
0.15,0.98931831455431,-0.1387768670121834,-0.8505414475421266,0,0,0,0
0.16,0.9878886046986315,-0.1472331907336939,-0.8406554139649376,0,0,0,0
0.17,0.9863748207714703,-0.1555907178878741,-0.8307841028835963,0,0,0,0
0.18,0.9847779499956928,-0.1638495999436128,-0.82092835005208,0,0,0,0
0.19,0.9830989780382673,-0.1720099966783415,-0.8110889813599258,0,0,0,0
0.2,0.981338888927666,-0.1800720760794587,-0.8012668128482072,0,0,0,0
0.21,0.979498664972253,-0.1880360142459215,-0.7914626507263316,0,0,0,0
0.2200000000000001,0.9775792866796553,-0.1959019952900061,-0.7816772913896493,0,0,0,0
0.2300000000000001,0.9755817326771157,-0.2036702112392501,-0.7719115214378656,0,0,0,0
0.2400000000000001,0.9735069796328218,-0.2113408619385824,-0.7621661176942394,0,0,0,0
0.2500000000000001,0.9713560021782206,-0.2189141549526494,-0.7524418472255712,0,0,0,0
0.2600000000000001,0.9691297728312998,-0.2263903054683448,-0.7427394673629549,0,0,0,0
0.2700000000000001,0.9668292619208492,-0.2337695361975509,-0.7330597257232982,0,0,0,0
0.2800000000000001,0.9644554375116906,-0.241052077280099,-0.7234033602315917,0,0,0,0
0.2900000000000001,0.9620092653308778,-0.2482381661869553,-0.7137710991439226,0,0,0,0
